Sample ID,chain_type,rna_count
TCGA-55-8205-01A,IGK,1052
TCGA-55-8205-01A,TRA,266
TCGA-55-8205-01A,TRB,8
TCGA-55-8205-01A,TRD,5
TCGA-55-8205-01A,TRG,1
TCGA-05-5715-01A,IGH,13
TCGA-05-5715-01A,IGL,72
TCGA-05-5715-01A,IGK,162
TCGA-05-5715-01A,TRA,29
TCGA-05-5715-01A,TRB,0
TCGA-05-5715-01A,TRD,3
TCGA-05-5715-01A,TRG,0
TCGA-86-8279-01A,IGH,36
TCGA-86-8279-01A,IGL,118
TCGA-86-8279-01A,IGK,482
TCGA-86-8279-01A,TRA,182
TCGA-86-8279-01A,TRB,1
TCGA-86-8279-01A,TRD,2
TCGA-86-8279-01A,TRG,0
TCGA-91-6840-01A,IGH,37
TCGA-91-6840-01A,IGL,231
TCGA-91-6840-01A,IGK,553
TCGA-91-6840-01A,TRA,111
TCGA-91-6840-01A,TRB,1
TCGA-91-6840-01A,TRD,3
TCGA-91-6840-01A,TRG,0
TCGA-67-3773-01A,IGH,15
TCGA-67-3773-01A,IGL,181
TCGA-67-3773-01A,IGK,397
TCGA-67-3773-01A,TRA,136
TCGA-67-3773-01A,TRB,3
TCGA-67-3773-01A,TRD,5
TCGA-67-3773-01A,TRG,2
TCGA-MP-A4SY-01A,IGH,14
TCGA-MP-A4SY-01A,IGL,167
TCGA-MP-A4SY-01A,IGK,345
TCGA-MP-A4SY-01A,TRA,72
TCGA-MP-A4SY-01A,TRB,2
TCGA-MP-A4SY-01A,TRD,1
TCGA-MP-A4SY-01A,TRG,1
TCGA-50-5941-01A,IGH,100
TCGA-50-5941-01A,IGL,544
TCGA-50-5941-01A,IGK,1265
TCGA-50-5941-01A,TRA,209
TCGA-50-5941-01A,TRB,7
TCGA-50-5941-01A,TRD,5
TCGA-50-5941-01A,TRG,1
TCGA-MP-A4T8-01A,IGH,11
TCGA-MP-A4T8-01A,IGL,29
TCGA-MP-A4T8-01A,IGK,90
TCGA-MP-A4T8-01A,TRA,36
TCGA-MP-A4T8-01A,TRB,0
TCGA-MP-A4T8-01A,TRD,1
TCGA-MP-A4T8-01A,TRG,0
TCGA-55-6981-01A,IGH,20
TCGA-55-6981-01A,IGL,70
TCGA-55-6981-01A,IGK,229
TCGA-55-6981-01A,TRA,53
TCGA-55-6981-01A,TRB,0
TCGA-55-6981-01A,TRD,0
TCGA-55-6981-01A,TRG,0
TCGA-MN-A4N1-01A,IGH,8
TCGA-MN-A4N1-01A,IGL,55
TCGA-MN-A4N1-01A,IGK,115
TCGA-MN-A4N1-01A,TRA,33
TCGA-MN-A4N1-01A,TRB,0
TCGA-MN-A4N1-01A,TRD,0
TCGA-MN-A4N1-01A,TRG,0
TCGA-55-6968-01A,IGH,174
TCGA-55-6968-01A,IGL,582
TCGA-55-6968-01A,IGK,1493
TCGA-55-6968-01A,TRA,360
TCGA-55-6968-01A,TRB,2
TCGA-55-6968-01A,TRD,14
TCGA-55-6968-01A,TRG,0
TCGA-80-5607-01A,IGH,14
TCGA-80-5607-01A,IGL,79
TCGA-80-5607-01A,IGK,212
TCGA-80-5607-01A,TRA,44
TCGA-80-5607-01A,TRB,1
TCGA-80-5607-01A,TRD,1
TCGA-80-5607-01A,TRG,0
TCGA-95-A4VN-01A,IGH,22
TCGA-95-A4VN-01A,IGL,135
TCGA-95-A4VN-01A,IGK,295
TCGA-95-A4VN-01A,TRA,70
TCGA-95-A4VN-01A,TRB,5
TCGA-95-A4VN-01A,TRD,1
TCGA-95-A4VN-01A,TRG,0
TCGA-44-2662-01A,IGH,55
TCGA-44-2662-01A,IGL,180
TCGA-44-2662-01A,IGK,410
TCGA-44-2662-01A,TRA,158
TCGA-44-2662-01A,TRB,3
TCGA-44-2662-01A,TRD,8
TCGA-44-2662-01A,TRG,2
TCGA-78-7167-01A,IGH,15
TCGA-78-7167-01A,IGL,97
TCGA-78-7167-01A,IGK,217
TCGA-78-7167-01A,TRA,87
TCGA-78-7167-01A,TRB,1
TCGA-78-7167-01A,TRD,5
TCGA-78-7167-01A,TRG,0
TCGA-73-4676-01A,IGH,2
TCGA-73-4676-01A,IGL,27
TCGA-73-4676-01A,IGK,47
TCGA-73-4676-01A,TRA,24
TCGA-73-4676-01A,TRB,1
TCGA-73-4676-01A,TRD,1
TCGA-73-4676-01A,TRG,0
TCGA-91-6848-01A,IGH,129
TCGA-91-6848-01A,IGL,336
TCGA-91-6848-01A,IGK,838
TCGA-91-6848-01A,TRA,189
TCGA-91-6848-01A,TRB,1
TCGA-91-6848-01A,TRD,14
TCGA-91-6848-01A,TRG,0
TCGA-55-7994-01A,IGH,39
TCGA-55-7994-01A,IGL,174
TCGA-55-7994-01A,IGK,467
TCGA-55-7994-01A,TRA,74
TCGA-55-7994-01A,TRB,9
TCGA-55-7994-01A,TRD,1
TCGA-55-7994-01A,TRG,0
TCGA-78-7160-01A,IGH,12
TCGA-78-7160-01A,IGL,109
TCGA-78-7160-01A,IGK,297
TCGA-78-7160-01A,TRA,60
TCGA-78-7160-01A,TRB,6
TCGA-78-7160-01A,TRD,1
TCGA-78-7160-01A,TRG,3
TCGA-75-5146-01A,IGH,26
TCGA-75-5146-01A,IGL,390
TCGA-75-5146-01A,IGK,1177
TCGA-75-5146-01A,TRA,260
TCGA-75-5146-01A,TRB,6
TCGA-75-5146-01A,TRD,7
TCGA-75-5146-01A,TRG,0
TCGA-49-AARR-01A,IGH,144
TCGA-49-AARR-01A,IGL,499
TCGA-49-AARR-01A,IGK,1374
TCGA-49-AARR-01A,TRA,311
TCGA-49-AARR-01A,TRB,6
TCGA-49-AARR-01A,TRD,11
